pipeline,subject,run,accuracy,kappa,confusion_matrix
cluster3,2,1,0.2524822695035461,0.005810044654056545,"[[343   5   2   0]
 [333  12   0   0]
 [347  12   1   0]
 [327  26   2   0]]"
cluster3,3,1,0.4765957446808511,0.3017834856475704,"[[293  19  26  12]
 [121  57 142  25]
 [ 57  42 239  22]
 [205  40  27  83]]"
cluster3,4,1,0.25673758865248225,0.0019923951291004327,"[[  0   2 271  77]
 [  4   0 240  96]
 [  4   0 280  76]
 [  1   0 277  82]]"
cluster3,5,1,0.28297872340425534,0.042414267960904195,"[[219   0 127   4]
 [205   0 139   1]
 [177   0 174   9]
 [204   0 145   6]]"
cluster3,6,1,0.29148936170212764,0.055379333006967624,"[[167  86  96   1]
 [124  90 126   5]
 [108 100 150   2]
 [137  74 140   4]]"
cluster3,7,1,0.3921985815602837,0.1917230492409674,"[[290  27   1  32]
 [186 127   0  32]
 [144 167  10  39]
 [220   9   0 126]]"
cluster3,8,1,0.2865248226950355,0.04409678582379484,"[[ 50   4 244  52]
 [ 52   2 245  46]
 [ 47   3 262  48]
 [ 59   0 206  90]]"
cluster3,9,1,0.2574468085106383,0.01098039741133272,"[[  1 103   0 246]
 [ 16 133   0 196]
 [  1 143   0 216]
 [  0 124   2 229]]"
cluster3,1,2,0.3198581560283688,0.09319590117760679,"[[188   0   5 157]
 [231   0  43  71]
 [255   9  66  30]
 [151   0   7 197]]"
cluster3,2,2,0.251063829787234,0.0035969176924852686,"[[336   4  10   0]
 [330   7   8   0]
 [341   8  11   0]
 [321  18  16   0]]"
cluster3,3,2,0.4602836879432624,0.2791866237631079,"[[301   0  39  10]
 [140   0 182  23]
 [ 63   0 277  20]
 [245   0  39  71]]"
cluster3,4,2,0.2531914893617021,0.0049860270612598345,"[[299   1   7  43]
 [258   0   1  81]
 [302   2   4  52]
 [302   0   4  54]]"
cluster3,5,2,0.30354609929078014,0.06941952134201668,"[[165  26 142  17]
 [143  22 158  22]
 [114  23 198  25]
 [141  12 159  43]]"
cluster3,6,2,0.2950354609929078,0.05919233144483527,"[[176  55 119   0]
 [130  48 160   7]
 [119  50 188   3]
 [142  79 130   4]]"
cluster3,7,2,0.40638297872340423,0.20905170247202753,"[[278   6  26  40]
 [176  65  69  35]
 [137  83  95  45]
 [207   2  11 135]]"
cluster3,8,2,0.27801418439716313,0.04041234632277724,"[[264  71   0  15]
 [239  96   0  10]
 [271  76   0  13]
 [250  73   0  32]]"
cluster3,9,2,0.225531914893617,-0.026257644177094752,"[[  8 338   4   0]
 [ 34 295  16   0]
 [ 20 325  15   0]
 [  5 319  31   0]]"
